Sentence,Type
행동적이다.,현실형
"국어, 영어시간보다 체육시간이 더 낫다 .",현실형
기계를 분해하여 조립하거나 수리하는 것과 같은 실습시간을 좋아한다.,현실형
친구들과 협동과제를 제출하는 것에 곤란함을 느끼거나 소극적이다.,현실형
인간관계가 어렵다,현실형
손이나 신체활동을 통해 학습하는 것을 좋아한다,현실형
단계별로 학습해 가는 과제를 좋아한다.,현실형
한가지씩 단계적 순차적으로 공부하는 것을 좋아한다.,현실형
구체적이고 세부적인 학습과제를 제시하면 더 잘 수행한다.,현실형
"세부적인 것을 우선 제공, 손에 쥐어주는 접근을 선호한다.",현실형
현재적이고 구체적인 정보를 선호한다.,현실형
상상력이 부족하다.,현실형
"비디오, 필름, 슬라이드 등 미디어 접근, 전산화 정보, 구조화된 형식, 차트를 선호한다.",현실형
실습을 선호한다.,현실형
분명한 실천계획을 제공하는 것을 선호한다.,현실형
"구체적, 실제적 목표를 세워 공부하기를 좋아한다.",현실형
기계나 도구를 조작하는 일을 좋아한다.,현실형
전통적이고 실용적인 일을 추구한다.,현실형
명확하고 체계적이다.,현실형
원리원칙대로 사고하고 행동한다.,현실형
"공학계열(전기, 전자, 기계 등)의 업무를 선호한다.",현실형
규칙적인 행동양식을 따르는 편이다.,현실형
사물을 다루는 것에 흥미가 있다.,현실형
손재주가 좋은 편이다.,현실형
솔직하고 겸손하다.,현실형
타인으로부터 고집이 세다는 평가를 받을 수 있다.,현실형
영향력을 발휘하거나 창의적인 일에 서툴다.,현실형
"사회적 관계맺음, 타인과의 상호작용을 중요하게 생각하지 않는다.",현실형
"소박하고 말이 적으며, 지구력이 있고 신체적인 활동을 좋아함.",현실형
"기계적, 운동적인 능력이 있음",현실형
분명하고 질서 정연하고 체계적인 것을 좋아하고 연장이나 기계를 조작하는 활동에 흥미가 있음.,현실형
사교적 재능보다는 손재능 및 기계적 소질이 있음.,현실형
겸손하고 솔직하지만 독단적이고 고집이 세다.,현실형
기계적 능력이 뛰어남.,현실형
현실적이고 신중한 성격,현실형
눈에 보이는 성취에 대한 물질적 보상을 가치 있게 여김.,현실형
타인과의 상호작용을 싫어함.,현실형
명확한 방법을 사용하여 행동하는 경향이 강합니다.,현실형
"전기나 기계, 공학 계열 분야와 같이 실제적이고 규칙적인 행동양식이 존재하는 분야를 선호합니다.",현실형
사물을 다루고 조작하는 것을 좋아해 손재주가 있다는 평을 듣는 경우가 많으며,현실형
겸손하고 솔직합니다.,현실형
창의적인 일에 서투릅니다.,현실형
창의적인 일을 못합니다.,현실형
한가지 주제를 두고 깊이 있게 관찰하고 탐구하는 것을 좋아함,탐구형
교사의 일방적인 설명보다는 혼자서 문제를 해결하려고 노력한다,탐구형
실험을 하여 원리를 발견해 내는 탐구학습을 좋아한다,탐구형
과학과목이나 수학과목에 적극적이다.,탐구형
교과서에 있는 내용을 학습하기 보다 새로운 책들을 찾아가면서 문제를 해결한다.,탐구형
혼자 독립적으로 개별학습을 더 좋아한다,탐구형
말을 하기 보다 쓰면서 공부하는 것을 더 좋아한다,탐구형
조용하고 집중할 수 있는 학습분위기를 좋아한다,탐구형
개별적인 관심분야에 대해 묻고 답하는 것을 더 좋아한다,탐구형
개인의 내적동기와 호기심에 대해 칭찬해 주는 것이 효과적이다,탐구형
"관찰, 탐구, 사고하는 일에 흥미가 있다.",탐구형
지적이고 분석적이다.,탐구형
학술적 재능이 있다.,탐구형
지식을 개발하고 습득하는 일을 선호한다.,탐구형
"자연, 사회현상 등을 탐구하는 것에 관심이 있다.",탐구형
내성적이고 독립적인 성격이다.,탐구형
타인을 설득하는 영업업무를 기피한다.,탐구형
탐구심과 지적 호기심이 많다.,탐구형
"논리적, 분석적, 합리적임.",탐구형
"수학적, 과학적인 능력이 높음",탐구형
관찰하고 탐구하며 사고하는 것을 좋아합니다.,탐구형
현실을 비판적이고 분석적으로 관찰하고 체계적이고 창조적으로 탐구하는 것을 좋아한다.,탐구형
규칙적이고 반복적인 활동이나 리더십을 발휘해야 하는 활동은 별로 좋아하지 않는다.,탐구형
인간적 감정이나 사회적 환경보다는 자연현상이나 사회현상에 대한 탐구활동에 대한 관심이 많다.,탐구형
"관찰적, 상징적, 체계적이며 물리적, 생물학적, 문화적 현상의 창조적인 탐구를 수반하는 활동을 좋아합니다.",탐구형
대인관계 능력보다는 학술적 재능이 있습니다.,탐구형
지적이고 현학적이며 독립적이지만 내성적입니다.,탐구형
"자연 및 사회현상의 탐구, 이해, 예측 및 통제를 좋아합니다.",탐구형
학구적 능력이 뛰어납니다.,탐구형
분석적이고 지적인 성격입니다.,탐구형
지식의 개발과 습득을 가치 있게 여깁니다.,탐구형
설득 및 영업활동을 싫어합니다.,탐구형
창의성과 기발함을 요하는 학습에 더 열정적이다,예술형
딱딱한 교실보다는 자유롭게 움직일 수 있는 학습공간을 좋아한다,예술형
"교사의 주입식, 설명식 수업보다 자유롭게 발표하는 것을 좋아한다",예술형
예능과목 수업에 적극적이다,예술형
감각적이고 미적인 학습자료들을 사용하는 수업에 흥미를 갖는다,예술형
주요한 핵심개념들에 대해 직관적이고 간략하게 셜명해 주는 것이 좋다.,예술형
구체적인 틀을 가진 과제보다 상상력을 발휘할 수 있는 과제를 제시하는 것이 좋다,예술형
학생의 풍부한 상상력과 창조적인 본성을 칭찬해 주는 것이 좋다,예술형
선택이 가능한 다양한 과제를 제시하는 것이 효과적이다.,예술형
편안한 자세로 맘껏 공부할 수 있는 자유로운 환경을 좋아한다,예술형
자유로움과 창조성을 중시한다.,예술형
"변화, 다양성을 선호한다.",예술형
"사무적인 일보다 창조적, 혁신적인 활동에 적합하다.",예술형
다양한 시도를 즐긴다.,예술형
"본인의 정서, 감정, 아이디어를 창의적으로 표현하고 싶어한다.",예술형
섬세하고 예민한 성격이다.,예술형
타인에게 유별나다는 인상을 주기도 한다.,예술형
관습적이고 통제적 환경을 기피한다.,예술형
독립적인 공간을 희망한다.,예술형
상상력이 풍부하고 독창적이다.,예술형
감수성이 강하다.,예술형
자유분방하며 개방적이다.,예술형
"미술, 음악적인 능력이 있음",예술형
창의적이고 유연한 사고를 즐겨하며 아름다움을 추구하는 경향이 강합니다.,예술형
"틀에 박힌 일이나 같은 패턴의 일, 변화가 없이 틀에 맞추어 해야 하는 일을 별로 좋아하지 않습니다.",예술형
같은 사물이나 현상을 보고도 획일적으로 판단하지 않으며 상상력이 풍부하고 독창적인 편입니다.,예술형
예술적 감수성이 뛰어나고 능력을 발휘하며 즐깁니다.,예술형
"반면, 명확하고 규칙적인 활동이나 객관적 사실을 추구하는 활동에는 약한 편입니다.",예술형
개방적인 사고체계를 소유하고 있어 변화를 주도하고 추구하며 자신의 직감에 의존하여 문제를 해결하려는 경향도 있습니다.,예술형
예술적 창조와 표현을 선호한다.,예술형
변화와 다양성을 선호한다.,예술형
"틀에 박힌 것을 싫어하며 모호하고, 자유롭고, 상징적인 활동에 흥미가 있습니다.",예술형
사무적 재능보다는 혁신적이고 지적인 재능이 있다.,예술형
유별나고 혼란스러워 보이며 예민하지만 창조적이다.,예술형
"문학, 음악, 미술활동을 선호한다.",예술형
예술적 능력이 뛰어나다.,예술형
경험에 대한 개방적인 성격이다.,예술형
"아이디어, 정서, 감정의 창조적 표현을 중요하게 여긴다.",예술형
틀에 박힌 일이나 규칙을 싫어한다.,예술형
교사의 따뜻한 칭찬을 아주 좋아한다.,사회형
친숙한 친구들과 어울려 공부하기를 좋아한다,사회형
"사적인 이야기를 하는 교사를 좋아하고, 내용보다는 교사자체에 대해 관심",사회형
교사를 좋아하고 잘 따른다,사회형
해야 할 과제가 있을 때에도 친구의 부탁을 거절하지 못한다,사회형
모든 학생들이 기분 좋도록 성적을 주는 것을 좋아한다,사회형
우호적이고 지지적이며 긍정적인 학습환경을 좋아한다 - 친밀감 형성,사회형
경쟁적 과제보다는 협동과제를 좋아한다,사회형
칭찬해 주면 더 잘 한다,사회형
"문학, 사회와 역사공부와 같은 이야기를 주로 하는 과목을 좋아한다",사회형
학습내용과 관련된 에피소드를 해주면 동기유발이 잘 된다,사회형
친한 친구들끼리 소그룹활동을 좋아한다,사회형
"시간관리, 일 마무리 잘 못함",사회형
단계적 학습이나 세부적이고 분석적인 능력 부족하다.,사회형
집단방식을 선호한다.,사회형
인간관계에서 결과보다는 과정지향적 이다.,사회형
교사와 관계성이 중요하다.,사회형
타인의 경험에 대하여 대화를 통해 학습한다.,사회형
"타인을 돕고, 이해하고, 치료하는 일에 흥미가 있다.",사회형
사교적이고 이타심이 많다.,사회형
대인관계에 능하다.,사회형
동정심과 참을성이 많다.,사회형
인간 복지에 관심이 많다.,사회형
"가르치는 일, 봉사활동에 참여한다.",사회형
기계를 조작하거나 도구를 만지는 일을 기피한다.,사회형
"사람들을 좋아하고 친절하고 이해심이 많으며, 남을 잘 도와주고 봉사적임",사회형
"사회적, 교육적, 대인관계 능력이 높음",사회형
타인의 문제를 듣고 공감하고 도와주고 치료해주는 것을 선호하며 사람을 상대하는 활동에 능숙합니다.,사회형
일반적으로 이타적이며 자애롭고 배려심이 깊은 인물로 평가를 받습니다.,사회형
사물을 지향하기 보다는 사람과 사람 사이의 관계에 주목하는 경향이 강합니다.,사회형
다른 사람들에게 어떤 사실을 가르쳐주고 도와주거나 지원해주는 활동을 좋아합니다.,사회형
"타인의 문제를 듣고, 이해하고, 도와주고 치료해주고, 봉사하는 활동에 흥미가 있습니다.",사회형
기계적 능력보다는 대인 관계적 소질이 있다고 평가합니다.,사회형
"이해심 많고 사교적이고 동정적이며 이타적인 사람 상담, 교육, 봉사활동",사회형
대인 지향적 능력이 뛰어납니다.,사회형
동정심과 참을성이 있는 성격입니다.,사회형
타인의 복지와 사회적 서비스의 제공을 중요하게 여깁니다.,사회형
기계 기술적 활동을 싫어합니다.,사회형
토론하고 발표하는 수업을 좋아하며 자신이 나서서 발표 적극적이다.,기업형
교사에게서 인정받기를 원한다.,기업형
보상이 주어지는 학습활동에 더 적극적이다.,기업형
자신의 주장을 친구들 앞에서 잘 표현하고 언어구사력이 뛰어나다.,기업형
집단활동을 좋아하기 때문에 지반별 배치를 하면 더 효율적이다.,기업형
간단하면서도 집단별로 제출하는 과제를 좋아한다,기업형
칠판에 직접 써가며 직접활동에 참여하는 것을 좋아한다,기업형
시끄러운 듯 하면서도 활동적인 학습분위기를 좋아한다,기업형
간략하게 강의를 하고 난 후 토의로 결론을 내리는 수업을 좋아한다.,기업형
다른 학생들과 협동하여 공부하고 자신의 의견을 잘 표현하는 능력을 칭찬해 주는 것이 효과적이다,기업형
집단 활동을 선호한다.,기업형
경쟁적이고 계획적 목표성취적이다.,기업형
언어적 상호작용,기업형
누군가를 설득하는 일에 능숙하다.,기업형
야망적이다.,기업형
경제적 지를 얻는 일에 관심이 높다.,기업형
"명예, 인정을 추구한다.",기업형
외향적이다.,기업형
대담한 성격으로 언변이 뛰어나고 설득적이다.,기업형
목적달성을 위해 타인을 지도하는 일에 흥미가 있다.,기업형
"논리적이고 과학적인 활동보다 열정적, 사교적 활동을 선호한다.",기업형
리더십이 있다.,기업형
사람과 사업 관리하기를 좋아한다.,기업형
외형적이고 열성적이며 경쟁적이고 이상적이다.,기업형
"지도력과 설득력, 언어능력이 높음",기업형
자신이 기획하고 목표설정한 것을 실행시크는데 탁월한 능력을 보인다.,기업형
개인과 조직의 목표를 달성하거나 경제적인 이익을 추구하기 위한 활동을 선호한다.,기업형
타인에게 영향력을 발휘하는 일을 하고 싶어함,기업형
계획하고 목표설정하며 추진하고 있는 일을 성공적으로 이끌기 위해 다른 사람들을 설득하거나 협상을 하는 등 사회성을 발휘한다.,기업형
조직의 목적과 경제적인 이익을 얻기 위해 타인을 지도하는 것을 좋아한다.,기업형
"계획, 통제, 관리하는 일과 그 결과로 얻어지는 명 예, 인정, 권위에 흥미가 있다.",기업형
과학적 능력보다는 설득력 및 영업능력이 있다.,기업형
열정적이고 외향적이며 모험적이지만 야심이 있다.,기업형
"설득, 지시, 지도 활동을 좋아한다.",기업형
경영 및 영업능력이 뛰어나다.,기업형
대담하고 사교적인 성격이다.,기업형
경제적 성취와 사회적 지위를 중요하게 여긴다.,기업형
"과학적, 지적, 추상적 주제를 싫어한다.",기업형
"학교에서 정한 규칙을 잘 준수하고 과제물, 준비물을 철저하게 준비하는 모범생이다",관습형
잘 짜여진 계획에 따라 학습한다,관습형
발표수업이나 협동학습보다는 교사 중심의 주입식 수업을 더 좋아한다,관습형
"교과서, 참고서, 문제집 등을 갖추고 공부한다",관습형
"주관식, 표현중심의 시험보다 단답형이나 선택형의 시험에 강하다",관습형
교사의 설명을 잘 듣고 꼼꼼하게 노트필기를 잘 한다,관습형
자신의 주위(책상)가 정리되지 않으면 공부에 집중할 수 없다,관습형
명확하고 정확하며 일정한 틀이 정해진 과제를 더 좋아한다,관습형
잘 정돈되고 깔금한 교실분위기를 좋아한다,관습형
장기적이고 지속적인 보상을 주는 것이 더 효과적이다.,관습형
정해진 계획표에 따라 공부와 놀이시간을 분명히 구분해서 한다.,관습형
